disease_id,disease_name,category,severity_level,created_at
1,COVID-19,Orthopedic,3.0,2025-04-30 04:56:08
2,Asthma,Infectious,3.0,2025-11-18 07:17:45
3,Influenza,Orthopedic,3.0,2024-08-04 14:44:40
4,Fracture,Infectious,4.0,2026-03-04 18:20:11
5,Influenza,Respiratory,3.0,2025-12-28 05:36:21
6,COVID-19,Respiratory,1.0,2024-08-18 20:38:44
7,Fracture,Neurological,2.0,2024-12-31 19:55:52
8,Migraine,Infectious,1.0,2024-12-01 03:08:34
9,Stroke,Cardiovascular,5.0,2025-09-22 12:19:33
10,Asthma,Cardiovascular,4.0,2026-03-13 17:46:55
11,Hypertension,Infectious,4.0,2025-02-26 12:05:35
12,COVID-19,Infectious,1.0,2025-02-08 09:03:45
13,Stroke,Orthopedic,4.0,2024-07-21 03:57:56
14,,Neurological,4.0,2024-09-29 01:39:40
15,COVID-19,Neurological,5.0,2026-05-04 22:58:59
16,COVID-19,Orthopedic,2.0,2024-11-18 10:03:34
17,Stroke,Orthopedic,1.0,2025-05-08 11:29:52
18,Influenza,Infectious,3.0,2025-07-21 15:09:04
19,Influenza,Respiratory,5.0,2025-02-09 00:34:27
20,Stroke,Infectious,5.0,2024-09-30 08:04:13
21,COVID-19,,3.0,2025-08-06 02:29:15
22,COVID-19,Cardiovascular,2.0,2026-01-05 22:33:58
23,Migraine,Infectious,1.0,2025-02-18 23:43:16
24,Asthma,Orthopedic,1.0,2025-01-10 18:07:00
25,Hypertension,Respiratory,2.0,2025-07-02 14:34:22
26,Influenza,Infectious,4.0,2025-08-31 13:29:30
27,,Neurological,3.0,2025-02-06 23:21:43
28,Hypertension,Cardiovascular,1.0,2025-11-08 14:27:41
29,Asthma,Orthopedic,1.0,2026-04-21 00:06:01
30,Influenza,Neurological,4.0,2026-03-17 19:54:00
31,Asthma,Neurological,2.0,2025-08-08 01:48:50
32,Stroke,Cardiovascular,5.0,2025-09-12 09:43:46
33,Migraine,Respiratory,2.0,2026-02-03 07:25:21
34,Influenza,Orthopedic,,2024-12-01 08:47:18
35,,Infectious,4.0,
36,Stroke,Cardiovascular,4.0,2024-07-20 03:42:44
37,Migraine,Neurological,4.0,2025-07-27 07:15:21
38,Fracture,Neurological,1.0,2024-05-23 07:48:35
39,Migraine,Respiratory,4.0,2024-09-16 21:56:20
40,COVID-19,Neurological,5.0,2025-03-27 17:28:01
25,Hypertension,Respiratory,2.0,2025-07-02 14:34:22
